Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Arbiswap Exchange USD,ARBI-USD,2023-02-24,2.652496099472046,3.339016914367676,1.5057859420776367,2.1193549633026123,2.1193549633026123,2656242
Arbiswap Exchange USD,ARBI-USD,2023-02-25,2.118933916091919,2.756716012954712,1.6939680576324463,1.7391020059585571,1.7391020059585571,723657
Arbiswap Exchange USD,ARBI-USD,2023-02-26,1.7388169765472412,2.120666980743408,1.631248950958252,1.7803750038146973,1.7803750038146973,829911
Arbiswap Exchange USD,ARBI-USD,2023-02-27,1.7805160284042358,1.8558590412139893,1.2923990488052368,1.7447010278701782,1.7447010278701782,1069384
Arbiswap Exchange USD,ARBI-USD,2023-02-28,1.7450220584869385,1.7543270587921145,1.325577974319458,1.4387880563735962,1.4387880563735962,443539
Arbiswap Exchange USD,ARBI-USD,2023-03-01,1.4388420581817627,1.5002820491790771,0.590179979801178,1.4903299808502195,1.4903299808502195,1194815
Arbiswap Exchange USD,ARBI-USD,2023-03-02,1.4903299808502195,1.5034810304641724,0.0,0.0,0.0,343299
Arbiswap Exchange USD,ARBI-USD,2023-03-03,0.0,0.0,0.0,0.0,0.0,1846
Arbiswap Exchange USD,ARBI-USD,2023-03-04,0.0,0.0,0.0,0.0,0.0,572
Arbiswap Exchange USD,ARBI-USD,2023-03-05,0.0,0.0,0.0,0.0,0.0,180
Arbiswap Exchange USD,ARBI-USD,2023-03-06,0.0,0.0,0.0,0.0,0.0,342
Arbiswap Exchange USD,ARBI-USD,2023-03-07,0.0,0.0,0.0,0.0,0.0,243
Arbiswap Exchange USD,ARBI-USD,2023-03-08,0.0,0.0,0.0,0.0,0.0,41
Arbiswap Exchange USD,ARBI-USD,2023-03-11,0.0,0.0,0.0,0.0,0.0,2
Arbiswap Exchange USD,ARBI-USD,2023-03-12,0.0,0.0054990001954138,0.0,0.0054839998483657,0.0054839998483657,3
Arbiswap Exchange USD,ARBI-USD,2023-03-13,0.0054819998331367,0.0055100000463426,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0
Arbiswap Exchange USD,ARBI-USD,2023-03-14,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0
Arbiswap Exchange USD,ARBI-USD,2023-03-15,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0
Arbiswap Exchange USD,ARBI-USD,2023-03-16,9.999999974752427e-07,0.0006179999909363,0.0,0.0,0.0,158
Arbiswap Exchange USD,ARBI-USD,2023-03-17,0.0,0.0,0.0,0.0,0.0,908
Arbiswap Exchange USD,ARBI-USD,2023-03-18,0.0,0.0,0.0,0.0,0.0,397
Arbiswap Exchange USD,ARBI-USD,2023-03-19,0.0,0.0,0.0,0.0,0.0,177
Arbiswap Exchange USD,ARBI-USD,2023-03-20,0.0,0.0,0.0,0.0,0.0,490
Arbiswap Exchange USD,ARBI-USD,2023-03-21,0.0,0.0,0.0,0.0,0.0,202
Arbiswap Exchange USD,ARBI-USD,2023-03-22,0.0,0.0,0.0,0.0,0.0,70
Arbiswap Exchange USD,ARBI-USD,2023-03-23,0.0,0.0,0.0,0.0,0.0,41
Arbiswap Exchange USD,ARBI-USD,2023-03-24,0.0,0.0,0.0,0.0,0.0,7
Arbiswap Exchange USD,ARBI-USD,2023-03-27,0.0,0.0,0.0,0.0,0.0,1
Arbiswap Exchange USD,ARBI-USD,2023-03-28,0.0,9.000000318337698e-06,0.0,0.0,0.0,21
Arbiswap Exchange USD,ARBI-USD,2023-04-02,0.0,0.0,0.0,0.0,0.0,1
Arbiswap Exchange USD,ARBI-USD,2023-04-03,0.0,1.999999994950485e-06,0.0,1.999999994950485e-06,1.999999994950485e-06,1
Arbiswap Exchange USD,ARBI-USD,2023-04-04,1.999999994950485e-06,9.000000318337698e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0
Arbiswap Exchange USD,ARBI-USD,2023-04-05,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,2
Arbiswap Exchange USD,ARBI-USD,2023-04-06,0.0,0.0001740000006975,0.0,4.999999873689376e-06,4.999999873689376e-06,10
Arbiswap Exchange USD,ARBI-USD,2023-04-07,4.999999873689376e-06,4.999999873689376e-05,0.0,9.999999974752427e-07,9.999999974752427e-07,193
Arbiswap Exchange USD,ARBI-USD,2023-04-08,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,0
Arbiswap Exchange USD,ARBI-USD,2023-04-12,0.0,9.999999747378752e-06,0.0,9.999999747378752e-06,9.999999747378752e-06,0
Arbiswap Exchange USD,ARBI-USD,2023-04-13,0.0,2.446134090423584,0.0,0.0,0.0,47
Arbiswap Exchange USD,ARBI-USD,2023-04-14,0.0,0.8170109987258911,0.0,0.8167110085487366,0.8167110085487366,27
Arbiswap Exchange USD,ARBI-USD,2023-04-15,0.8167049884796143,0.8172810077667236,0.0,0.0,0.0,7
Arbiswap Exchange USD,ARBI-USD,2023-04-16,0.0,0.0,0.0,0.0,0.0,4
Arbiswap Exchange USD,ARBI-USD,2023-09-14,5.8165219307682045e-09,5.8165219307682045e-09,5.815372183803902e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-15,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-16,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-17,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-18,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-19,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-21,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-22,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-24,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-25,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
Arbiswap Exchange USD,ARBI-USD,2023-09-26,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,5.8165219307682045e-09,0
