Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
BIDR USD,BIDR-USD,2020-09-02,6.800000119255856e-05,7.000000186963007e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,0
BIDR USD,BIDR-USD,2020-09-03,6.900000153109431e-05,7.000000186963007e-05,6.70000008540228e-05,6.900000153109431e-05,6.900000153109431e-05,0
BIDR USD,BIDR-USD,2020-09-04,6.900000153109431e-05,7.100000220816582e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-05,6.800000119255856e-05,7.000000186963007e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-06,6.800000119255856e-05,6.900000153109431e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-07,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,0
BIDR USD,BIDR-USD,2020-09-08,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-09,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-10,6.800000119255856e-05,7.000000186963007e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-11,6.800000119255856e-05,6.800000119255856e-05,6.600000051548705e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-12,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-13,6.70000008540228e-05,6.70000008540228e-05,6.600000051548705e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-14,6.70000008540228e-05,6.800000119255856e-05,6.600000051548705e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-15,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-16,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-17,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-18,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,0
BIDR USD,BIDR-USD,2020-09-19,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-20,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-21,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-22,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,0
BIDR USD,BIDR-USD,2020-09-23,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,223490
BIDR USD,BIDR-USD,2020-09-24,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,491037
BIDR USD,BIDR-USD,2020-09-25,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,254180
BIDR USD,BIDR-USD,2020-09-26,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,94519
BIDR USD,BIDR-USD,2020-09-27,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,420571
BIDR USD,BIDR-USD,2020-09-28,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,829533
BIDR USD,BIDR-USD,2020-09-29,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,866271
BIDR USD,BIDR-USD,2020-09-30,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,963553
BIDR USD,BIDR-USD,2020-10-01,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,384995
BIDR USD,BIDR-USD,2020-10-02,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,201249
BIDR USD,BIDR-USD,2020-10-03,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,94727
BIDR USD,BIDR-USD,2020-10-04,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,107696
BIDR USD,BIDR-USD,2020-10-05,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,6.70000008540228e-05,167163
BIDR USD,BIDR-USD,2020-10-06,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,141110
BIDR USD,BIDR-USD,2020-10-07,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,147804
BIDR USD,BIDR-USD,2020-10-08,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,253129
BIDR USD,BIDR-USD,2020-10-09,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,554701
BIDR USD,BIDR-USD,2020-10-10,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,373012
BIDR USD,BIDR-USD,2020-10-11,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,161259
BIDR USD,BIDR-USD,2020-10-12,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,319111
BIDR USD,BIDR-USD,2020-10-13,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,219575
BIDR USD,BIDR-USD,2020-10-14,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,157527
BIDR USD,BIDR-USD,2020-10-15,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,358748
BIDR USD,BIDR-USD,2020-10-16,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,238419
BIDR USD,BIDR-USD,2020-10-17,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,88019
BIDR USD,BIDR-USD,2020-10-18,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,69286
BIDR USD,BIDR-USD,2020-10-19,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,164326
BIDR USD,BIDR-USD,2020-10-20,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,182450
BIDR USD,BIDR-USD,2020-10-21,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,348192
BIDR USD,BIDR-USD,2020-10-22,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,432059
BIDR USD,BIDR-USD,2020-10-23,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,224976
BIDR USD,BIDR-USD,2020-10-24,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,100650
BIDR USD,BIDR-USD,2020-10-25,6.900000153109431e-05,6.900000153109431e-05,6.70000008540228e-05,6.900000153109431e-05,6.900000153109431e-05,135501
BIDR USD,BIDR-USD,2020-10-26,6.900000153109431e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,145375
BIDR USD,BIDR-USD,2020-10-27,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,180553
BIDR USD,BIDR-USD,2020-10-28,6.800000119255856e-05,6.900000153109431e-05,6.70000008540228e-05,6.800000119255856e-05,6.800000119255856e-05,102672
BIDR USD,BIDR-USD,2020-10-29,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,402153
BIDR USD,BIDR-USD,2020-10-30,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,254554
BIDR USD,BIDR-USD,2020-10-31,6.800000119255856e-05,6.900000153109431e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,466541
