Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Baby WOJ USD,BWJ-USD,2022-01-24,2.499999936844688e-05,3.700000161188655e-05,1.9999999494757503e-05,3.5000000934815034e-05,3.5000000934815034e-05,378718
Baby WOJ USD,BWJ-USD,2022-01-25,3.5000000934815034e-05,5.199999941396527e-05,3.199999991920777e-05,4.8999998398358e-05,4.8999998398358e-05,577705
Baby WOJ USD,BWJ-USD,2022-01-26,4.8999998398358e-05,5.299999975250103e-05,3.099999958067201e-05,3.7999998312443495e-05,3.7999998312443495e-05,430609
Baby WOJ USD,BWJ-USD,2022-01-27,3.7999998312443495e-05,4.5000000682193786e-05,3.600000127335079e-05,4.5000000682193786e-05,4.5000000682193786e-05,340932
Baby WOJ USD,BWJ-USD,2022-01-28,4.5000000682193786e-05,6.600000051548705e-05,4.5000000682193786e-05,6.0999998822808266e-05,6.0999998822808266e-05,505352
Baby WOJ USD,BWJ-USD,2022-01-29,6.0999998822808266e-05,6.500000017695129e-05,5.400000009103678e-05,6.0999998822808266e-05,6.0999998822808266e-05,992743
Baby WOJ USD,BWJ-USD,2022-01-30,6.0999998822808266e-05,6.199999916134402e-05,4.70000013592653e-05,4.8000001697801054e-05,4.8000001697801054e-05,655435
Baby WOJ USD,BWJ-USD,2022-01-31,4.8000001697801054e-05,6.900000153109431e-05,4.5000000682193786e-05,6.600000051548705e-05,6.600000051548705e-05,348665
Baby WOJ USD,BWJ-USD,2022-02-01,6.600000051548705e-05,6.800000119255856e-05,6.199999916134402e-05,6.199999916134402e-05,6.199999916134402e-05,329760
Baby WOJ USD,BWJ-USD,2022-02-02,6.199999916134402e-05,8.600000001024455e-05,6.0999998822808266e-05,7.200000254670158e-05,7.200000254670158e-05,434670
Baby WOJ USD,BWJ-USD,2022-02-03,7.200000254670158e-05,7.79999973019585e-05,7.100000220816582e-05,7.699999696342275e-05,7.699999696342275e-05,482936
Baby WOJ USD,BWJ-USD,2022-02-04,7.699999696342275e-05,9.7999996796716e-05,7.400000322377309e-05,9.7999996796716e-05,9.7999996796716e-05,459350
Baby WOJ USD,BWJ-USD,2022-02-05,9.7999996796716e-05,0.0001360000023851,9.699999645818024e-05,0.0001199999969685,0.0001199999969685,840776
