Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
CheeseSwap USD,CHEESE15565-USD,2021-12-05,0.0002110000059474,0.0002240000030724,0.0001950000005308,0.0001970000012079,0.0001970000012079,0
CheeseSwap USD,CHEESE15565-USD,2021-12-06,0.0001979999942705,0.0001990000018849,0.0001610000035725,0.0001690000062808,0.0001690000062808,569701
CheeseSwap USD,CHEESE15565-USD,2021-12-07,0.0001690000062808,0.0001699999993434,0.0001539999939268,0.0001619999966351,0.0001619999966351,72701
CheeseSwap USD,CHEESE15565-USD,2021-12-08,0.0001630000042496,0.0001650000049266,0.0001480000064475,0.0001530000008642,0.0001530000008642,35407
CheeseSwap USD,CHEESE15565-USD,2021-12-09,0.0001530000008642,0.0001570000022184,0.000120999997307,0.000120999997307,0.000120999997307,29465
CheeseSwap USD,CHEESE15565-USD,2021-12-10,0.000120999997307,0.000120999997307,0.0001100000008591,0.0001110000011976,0.0001110000011976,32751
CheeseSwap USD,CHEESE15565-USD,2021-12-11,0.0001110000011976,0.0001150000025518,0.000108000000182,0.000108000000182,0.000108000000182,26489
CheeseSwap USD,CHEESE15565-USD,2021-12-12,0.000108000000182,0.0001110000011976,0.000105999999505,0.0001100000008591,0.0001100000008591,16240
CheeseSwap USD,CHEESE15565-USD,2021-12-13,0.0001100000008591,0.0001110000011976,9.000000136438757e-05,9.100000170292331e-05,9.100000170292331e-05,15931
CheeseSwap USD,CHEESE15565-USD,2021-12-14,9.100000170292331e-05,9.999999747378752e-05,9.000000136438757e-05,9.999999747378752e-05,9.999999747378752e-05,27127
CheeseSwap USD,CHEESE15565-USD,2021-12-15,9.999999747378752e-05,0.0001039999988279,9.699999645818024e-05,0.0001039999988279,0.0001039999988279,24658
CheeseSwap USD,CHEESE15565-USD,2021-12-16,0.0001039999988279,0.0001049999991664,9.100000170292331e-05,9.100000170292331e-05,9.100000170292331e-05,18829
CheeseSwap USD,CHEESE15565-USD,2021-12-17,9.100000170292331e-05,9.300000237999484e-05,8.600000001024455e-05,8.900000102585182e-05,8.900000102585182e-05,18328
CheeseSwap USD,CHEESE15565-USD,2021-12-18,8.900000102585182e-05,8.900000102585182e-05,7.79999973019585e-05,7.899999764049426e-05,7.899999764049426e-05,29080
CheeseSwap USD,CHEESE15565-USD,2021-12-19,7.899999764049426e-05,7.899999764049426e-05,7.500000356230885e-05,7.599999662488699e-05,7.599999662488699e-05,25244
CheeseSwap USD,CHEESE15565-USD,2021-12-20,7.599999662488699e-05,7.599999662488699e-05,6.900000153109431e-05,7.200000254670158e-05,7.200000254670158e-05,13345
CheeseSwap USD,CHEESE15565-USD,2021-12-21,7.200000254670158e-05,7.599999662488699e-05,7.000000186963007e-05,7.500000356230885e-05,7.500000356230885e-05,18007
CheeseSwap USD,CHEESE15565-USD,2021-12-22,7.500000356230885e-05,7.79999973019585e-05,7.300000288523734e-05,7.400000322377309e-05,7.400000322377309e-05,14957
CheeseSwap USD,CHEESE15565-USD,2021-12-23,7.400000322377309e-05,7.500000356230885e-05,7.000000186963007e-05,7.400000322377309e-05,7.400000322377309e-05,14884
CheeseSwap USD,CHEESE15565-USD,2021-12-24,7.400000322377309e-05,7.899999764049426e-05,7.300000288523734e-05,7.400000322377309e-05,7.400000322377309e-05,15580
CheeseSwap USD,CHEESE15565-USD,2021-12-25,7.400000322377309e-05,7.500000356230885e-05,7.300000288523734e-05,7.500000356230885e-05,7.500000356230885e-05,10891
CheeseSwap USD,CHEESE15565-USD,2021-12-26,7.500000356230885e-05,7.500000356230885e-05,7.200000254670158e-05,7.300000288523734e-05,7.300000288523734e-05,4547
CheeseSwap USD,CHEESE15565-USD,2021-12-27,7.200000254670158e-05,7.79999973019585e-05,6.900000153109431e-05,7.500000356230885e-05,7.500000356230885e-05,12919
CheeseSwap USD,CHEESE15565-USD,2021-12-28,7.500000356230885e-05,7.500000356230885e-05,6.900000153109431e-05,7.000000186963007e-05,7.000000186963007e-05,15014
CheeseSwap USD,CHEESE15565-USD,2021-12-29,7.000000186963007e-05,7.000000186963007e-05,6.299999949987978e-05,6.299999949987978e-05,6.299999949987978e-05,9293
CheeseSwap USD,CHEESE15565-USD,2021-12-30,6.299999949987978e-05,6.600000051548705e-05,6.299999949987978e-05,6.399999983841553e-05,6.399999983841553e-05,8022
