Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Canto Inu USD,CINU21554-USD,2023-01-30,0.0,0.0,0.0,0.0,0.0,156819
Canto Inu USD,CINU21554-USD,2023-01-31,0.0,0.0,0.0,0.0,0.0,106215
Canto Inu USD,CINU21554-USD,2023-02-01,0.0,0.0,0.0,0.0,0.0,167639
Canto Inu USD,CINU21554-USD,2023-02-02,0.0,0.0,0.0,0.0,0.0,179008
Canto Inu USD,CINU21554-USD,2023-02-03,0.0,0.0,0.0,0.0,0.0,246119
Canto Inu USD,CINU21554-USD,2023-02-04,0.0,0.0,0.0,0.0,0.0,635757
Canto Inu USD,CINU21554-USD,2023-02-05,0.0,0.0,0.0,0.0,0.0,244200
Canto Inu USD,CINU21554-USD,2023-02-06,0.0,0.0,0.0,0.0,0.0,134301
Canto Inu USD,CINU21554-USD,2023-02-07,0.0,0.0,0.0,0.0,0.0,426598
Canto Inu USD,CINU21554-USD,2023-02-08,0.0,0.0,0.0,0.0,0.0,167923
Canto Inu USD,CINU21554-USD,2023-02-09,0.0,0.0,0.0,0.0,0.0,148042
Canto Inu USD,CINU21554-USD,2023-02-10,0.0,0.0,0.0,0.0,0.0,54157
Canto Inu USD,CINU21554-USD,2023-02-11,0.0,0.0,0.0,0.0,0.0,61949
Canto Inu USD,CINU21554-USD,2023-02-12,0.0,0.0,0.0,0.0,0.0,77515
Canto Inu USD,CINU21554-USD,2023-02-13,0.0,0.0,0.0,0.0,0.0,90450
Canto Inu USD,CINU21554-USD,2023-02-14,0.0,0.0,0.0,0.0,0.0,55643
Canto Inu USD,CINU21554-USD,2023-02-15,0.0,0.0,0.0,0.0,0.0,75615
Canto Inu USD,CINU21554-USD,2023-02-16,0.0,0.0,0.0,0.0,0.0,120492
Canto Inu USD,CINU21554-USD,2023-02-17,0.0,0.0,0.0,0.0,0.0,54010
Canto Inu USD,CINU21554-USD,2023-02-18,0.0,0.0,0.0,0.0,0.0,28971
Canto Inu USD,CINU21554-USD,2023-02-19,0.0,0.0,0.0,0.0,0.0,15296
Canto Inu USD,CINU21554-USD,2023-02-20,0.0,0.0,0.0,0.0,0.0,36987
Canto Inu USD,CINU21554-USD,2023-02-21,0.0,0.0,0.0,0.0,0.0,36512
Canto Inu USD,CINU21554-USD,2023-02-22,0.0,0.0,0.0,0.0,0.0,22490
Canto Inu USD,CINU21554-USD,2023-02-23,0.0,0.0,0.0,0.0,0.0,21689
Canto Inu USD,CINU21554-USD,2023-02-24,0.0,0.0,0.0,0.0,0.0,31647
Canto Inu USD,CINU21554-USD,2023-02-25,0.0,0.0,0.0,0.0,0.0,19902
Canto Inu USD,CINU21554-USD,2023-02-26,0.0,0.0,0.0,0.0,0.0,13939
Canto Inu USD,CINU21554-USD,2023-02-27,0.0,0.0,0.0,0.0,0.0,19420
Canto Inu USD,CINU21554-USD,2023-02-28,0.0,0.0,0.0,0.0,0.0,24694
Canto Inu USD,CINU21554-USD,2023-03-01,0.0,0.0,0.0,0.0,0.0,48087
Canto Inu USD,CINU21554-USD,2023-03-02,0.0,0.0,0.0,0.0,0.0,13070
Canto Inu USD,CINU21554-USD,2023-03-03,0.0,0.0,0.0,0.0,0.0,31821
Canto Inu USD,CINU21554-USD,2023-03-04,0.0,0.0,0.0,0.0,0.0,5309
