Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-03,0.0,0.0,0.0,0.0,0.0,1444821
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-04,0.0,0.0,0.0,0.0,0.0,1283946
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-05,0.0,0.0,0.0,0.0,0.0,599727
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-06,0.0,0.0,0.0,0.0,0.0,524989
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-07,0.0,0.0,0.0,0.0,0.0,414227
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-08,0.0,0.0,0.0,0.0,0.0,299934
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-09,0.0,0.0,0.0,0.0,0.0,370788
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-10,0.0,0.0,0.0,0.0,0.0,243117
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-11,0.0,0.0,0.0,0.0,0.0,212011
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-12,0.0,0.0,0.0,0.0,0.0,187645
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-13,0.0,0.0,0.0,0.0,0.0,130010
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-14,0.0,0.0,0.0,0.0,0.0,38678
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-15,0.0,0.0,0.0,0.0,0.0,101975
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-16,0.0,0.0,0.0,0.0,0.0,92238
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-17,0.0,0.0,0.0,0.0,0.0,70607
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-18,0.0,0.0,0.0,0.0,0.0,53621
The Corgi of PolkaBridge USD,CORGIB-USD,2021-06-19,0.0,0.0,0.0,0.0,0.0,45002
