Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
CoTrader USD,COT-USD,2019-03-07,5.700000110664405e-05,8.299999899463728e-05,5.700000110664405e-05,8.299999899463728e-05,8.299999899463728e-05,58269
CoTrader USD,COT-USD,2019-03-08,8.299999899463728e-05,9.500000305706636e-05,2.499999936844688e-05,7.999999797903001e-05,7.999999797903001e-05,75687
CoTrader USD,COT-USD,2019-03-09,7.999999797903001e-05,8.299999899463728e-05,5.400000009103678e-05,5.8000001445179805e-05,5.8000001445179805e-05,54800
CoTrader USD,COT-USD,2019-03-10,5.8000001445179805e-05,6.70000008540228e-05,4.5000000682193786e-05,4.999999873689376e-05,4.999999873689376e-05,52116
CoTrader USD,COT-USD,2019-03-11,4.999999873689376e-05,6.900000153109431e-05,4.099999932805076e-05,4.70000013592653e-05,4.70000013592653e-05,35918
CoTrader USD,COT-USD,2019-03-12,4.8000001697801054e-05,6.299999949987978e-05,4.600000102072954e-05,5.400000009103678e-05,5.400000009103678e-05,36634
CoTrader USD,COT-USD,2019-03-13,5.500000042957254e-05,6.0999998822808266e-05,4.999999873689376e-05,5.400000009103678e-05,5.400000009103678e-05,70955
CoTrader USD,COT-USD,2019-03-14,5.400000009103678e-05,5.900000178371556e-05,3.5000000934815034e-05,5.500000042957254e-05,5.500000042957254e-05,70797
CoTrader USD,COT-USD,2019-03-15,5.500000042957254e-05,5.700000110664405e-05,4.8999998398358e-05,4.999999873689376e-05,4.999999873689376e-05,72675
CoTrader USD,COT-USD,2019-03-16,4.999999873689376e-05,5.700000110664405e-05,3.9999998989515007e-05,4.3000000005122274e-05,4.3000000005122274e-05,51453
CoTrader USD,COT-USD,2019-03-17,4.3000000005122274e-05,4.600000102072954e-05,3.899999865097925e-05,4.5000000682193786e-05,4.5000000682193786e-05,58889
CoTrader USD,COT-USD,2019-03-18,4.5000000682193786e-05,4.70000013592653e-05,3.300000025774352e-05,3.7999998312443495e-05,3.7999998312443495e-05,51878
CoTrader USD,COT-USD,2019-03-19,3.7999998312443495e-05,4.600000102072954e-05,2.8000000384054147e-05,3.400000059627928e-05,3.400000059627928e-05,48739
CoTrader USD,COT-USD,2019-03-20,3.5000000934815034e-05,3.700000161188655e-05,2.9000000722589903e-05,3.099999958067201e-05,3.099999958067201e-05,59323
CoTrader USD,COT-USD,2019-03-21,2.999999924213625e-05,5.8000001445179805e-05,2.999999924213625e-05,4.8000001697801054e-05,4.8000001697801054e-05,75899
CoTrader USD,COT-USD,2019-03-22,4.70000013592653e-05,7.599999662488699e-05,4.70000013592653e-05,5.500000042957254e-05,5.500000042957254e-05,82998
