Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
ZeLoop Eco Reward USD,ERW-USD,2021-11-02,9.300000237999484e-05,0.0014779999619349,9.200000204145908e-05,0.000105999999505,0.000105999999505,82214
ZeLoop Eco Reward USD,ERW-USD,2021-11-03,0.000105999999505,0.0001959999935934,3.9999998989515007e-05,5.900000178371556e-05,5.900000178371556e-05,31661
ZeLoop Eco Reward USD,ERW-USD,2021-11-04,5.900000178371556e-05,7.599999662488699e-05,2.300000051036477e-05,3.199999991920777e-05,3.199999991920777e-05,15115
ZeLoop Eco Reward USD,ERW-USD,2021-11-05,3.199999991920777e-05,7.599999662488699e-05,2.099999983329326e-05,7.599999662488699e-05,7.599999662488699e-05,10550
ZeLoop Eco Reward USD,ERW-USD,2021-11-06,7.599999662488699e-05,9.7999996796716e-05,2.700000004551839e-05,7.500000356230885e-05,7.500000356230885e-05,137933
ZeLoop Eco Reward USD,ERW-USD,2021-11-07,7.500000356230885e-05,7.599999662488699e-05,2.300000051036477e-05,2.4000000848900527e-05,2.4000000848900527e-05,191903
ZeLoop Eco Reward USD,ERW-USD,2021-11-08,2.4000000848900527e-05,2.499999936844688e-05,1.700000029813964e-05,2.200000017182901e-05,2.200000017182901e-05,10994
ZeLoop Eco Reward USD,ERW-USD,2021-11-09,2.200000017182901e-05,2.499999936844688e-05,1.5999999959603883e-05,1.9999999494757503e-05,1.9999999494757503e-05,2305
ZeLoop Eco Reward USD,ERW-USD,2021-11-10,1.9999999494757503e-05,2.999999924213625e-05,1.5999999959603883e-05,1.9999999494757503e-05,1.9999999494757503e-05,10786
ZeLoop Eco Reward USD,ERW-USD,2021-11-11,1.9999999494757503e-05,2.8000000384054147e-05,1.5999999959603883e-05,1.8999999156221747e-05,1.8999999156221747e-05,16620
ZeLoop Eco Reward USD,ERW-USD,2021-11-12,1.8999999156221747e-05,3.400000059627928e-05,1.700000029813964e-05,1.8999999156221747e-05,1.8999999156221747e-05,63817
ZeLoop Eco Reward USD,ERW-USD,2021-11-13,1.8999999156221747e-05,3.199999991920777e-05,1.2000000424450263e-05,1.2999999853491316e-05,1.2999999853491316e-05,56500
ZeLoop Eco Reward USD,ERW-USD,2021-11-14,1.2999999853491316e-05,2.5999999706982635e-05,7.000000096013537e-06,2.5999999706982635e-05,2.5999999706982635e-05,21785
