Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Green Shiba Inu (new) USD,GINUX-USD,2021-06-14,1.1000000085914508e-05,1.700000029813964e-05,1.1000000085914508e-05,1.5999999959603883e-05,1.5999999959603883e-05,416122
Green Shiba Inu (new) USD,GINUX-USD,2021-06-15,1.2999999853491316e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,401103
Green Shiba Inu (new) USD,GINUX-USD,2021-06-16,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,462776
Green Shiba Inu (new) USD,GINUX-USD,2021-06-17,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,248183
Green Shiba Inu (new) USD,GINUX-USD,2021-06-18,1.2999999853491316e-05,1.2999999853491316e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,136786
Green Shiba Inu (new) USD,GINUX-USD,2021-06-19,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,91795
Green Shiba Inu (new) USD,GINUX-USD,2021-06-20,1.2000000424450263e-05,1.2999999853491316e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,66310
Green Shiba Inu (new) USD,GINUX-USD,2021-06-21,1.2000000424450263e-05,1.2000000424450263e-05,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,49321
Green Shiba Inu (new) USD,GINUX-USD,2021-06-22,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,7.999999979801942e-06,66052
Green Shiba Inu (new) USD,GINUX-USD,2021-06-23,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,70359
Green Shiba Inu (new) USD,GINUX-USD,2021-06-24,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,30779
Green Shiba Inu (new) USD,GINUX-USD,2021-06-25,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,27920
Green Shiba Inu (new) USD,GINUX-USD,2021-06-26,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,6.000000212225132e-06,16929
Green Shiba Inu (new) USD,GINUX-USD,2021-06-27,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,16475
Green Shiba Inu (new) USD,GINUX-USD,2021-06-28,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,7.000000096013537e-06,7033
Green Shiba Inu (new) USD,GINUX-USD,2021-06-29,7.000000096013537e-06,1.2000000424450263e-05,7.000000096013537e-06,9.000000318337698e-06,9.000000318337698e-06,37019
Green Shiba Inu (new) USD,GINUX-USD,2021-06-30,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,1.1000000085914508e-05,72406
Green Shiba Inu (new) USD,GINUX-USD,2021-07-01,1.1000000085914508e-05,1.1000000085914508e-05,6.000000212225132e-06,7.999999979801942e-06,7.999999979801942e-06,65482
Green Shiba Inu (new) USD,GINUX-USD,2021-07-02,7.999999979801942e-06,1.8999999156221747e-05,0.0,1.700000029813964e-05,1.700000029813964e-05,611988
Green Shiba Inu (new) USD,GINUX-USD,2021-07-03,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8999999156221747e-05,1.8999999156221747e-05,1014024
