Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Havy USD,HAVY-USD,2018-09-11,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.8000000384054147e-05,2.8000000384054147e-05,74558
Havy USD,HAVY-USD,2018-09-12,2.8000000384054147e-05,3.300000025774352e-05,1.4999999621068127e-05,1.9999999494757503e-05,1.9999999494757503e-05,56891
Havy USD,HAVY-USD,2018-09-13,1.9999999494757503e-05,2.999999924213625e-05,1.8999999156221747e-05,2.999999924213625e-05,2.999999924213625e-05,34150
Havy USD,HAVY-USD,2018-09-14,2.999999924213625e-05,4.3000000005122274e-05,2.700000004551839e-05,4.199999966658652e-05,4.199999966658652e-05,53928
Havy USD,HAVY-USD,2018-09-15,4.199999966658652e-05,5.8000001445179805e-05,4.199999966658652e-05,5.400000009103678e-05,5.400000009103678e-05,147860
Havy USD,HAVY-USD,2018-09-16,5.400000009103678e-05,5.400000009103678e-05,3.700000161188655e-05,3.9999998989515007e-05,3.9999998989515007e-05,60764
Havy USD,HAVY-USD,2018-09-17,3.899999865097925e-05,4.3000000005122274e-05,2.499999936844688e-05,2.8000000384054147e-05,2.8000000384054147e-05,48908
Havy USD,HAVY-USD,2018-09-18,2.5999999706982635e-05,3.600000127335079e-05,2.499999936844688e-05,2.999999924213625e-05,2.999999924213625e-05,31191
Havy USD,HAVY-USD,2018-09-19,2.999999924213625e-05,3.300000025774352e-05,2.8000000384054147e-05,3.099999958067201e-05,3.099999958067201e-05,19115
Havy USD,HAVY-USD,2018-09-20,2.999999924213625e-05,3.7999998312443495e-05,2.999999924213625e-05,3.5000000934815034e-05,3.5000000934815034e-05,45104
Havy USD,HAVY-USD,2018-09-21,3.5000000934815034e-05,4.8999998398358e-05,3.300000025774352e-05,4.600000102072954e-05,4.600000102072954e-05,69168
Havy USD,HAVY-USD,2018-09-22,4.600000102072954e-05,4.70000013592653e-05,3.899999865097925e-05,3.899999865097925e-05,3.899999865097925e-05,24174
Havy USD,HAVY-USD,2018-09-23,3.899999865097925e-05,4.5000000682193786e-05,3.899999865097925e-05,4.199999966658652e-05,4.199999966658652e-05,22572
Havy USD,HAVY-USD,2018-09-24,4.199999966658652e-05,4.3000000005122274e-05,3.400000059627928e-05,4.3000000005122274e-05,4.3000000005122274e-05,26580
Havy USD,HAVY-USD,2018-09-25,4.3000000005122274e-05,4.8000001697801054e-05,3.099999958067201e-05,3.5000000934815034e-05,3.5000000934815034e-05,61917
Havy USD,HAVY-USD,2018-09-26,3.5000000934815034e-05,4.099999932805076e-05,2.999999924213625e-05,3.400000059627928e-05,3.400000059627928e-05,43578
Havy USD,HAVY-USD,2018-09-27,3.400000059627928e-05,3.600000127335079e-05,2.700000004551839e-05,3.099999958067201e-05,3.099999958067201e-05,37615
Havy USD,HAVY-USD,2018-09-28,3.099999958067201e-05,3.199999991920777e-05,2.4000000848900527e-05,2.700000004551839e-05,2.700000004551839e-05,30962
Havy USD,HAVY-USD,2018-09-29,2.700000004551839e-05,2.700000004551839e-05,2.300000051036477e-05,2.499999936844688e-05,2.499999936844688e-05,11897
Havy USD,HAVY-USD,2018-09-30,2.499999936844688e-05,2.700000004551839e-05,2.200000017182901e-05,2.300000051036477e-05,2.300000051036477e-05,8903
Havy USD,HAVY-USD,2018-10-01,2.300000051036477e-05,2.5999999706982635e-05,2.099999983329326e-05,2.300000051036477e-05,2.300000051036477e-05,8044
Havy USD,HAVY-USD,2018-10-02,2.300000051036477e-05,2.499999936844688e-05,2.099999983329326e-05,2.300000051036477e-05,2.300000051036477e-05,8913
Havy USD,HAVY-USD,2018-10-03,2.300000051036477e-05,2.300000051036477e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,5932
Havy USD,HAVY-USD,2018-10-04,1.8999999156221747e-05,1.9999999494757503e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,5666
Havy USD,HAVY-USD,2018-10-05,1.700000029813964e-05,2.200000017182901e-05,1.5999999959603883e-05,1.8999999156221747e-05,1.8999999156221747e-05,5851
Havy USD,HAVY-USD,2018-10-06,1.8999999156221747e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,2201
Havy USD,HAVY-USD,2018-10-07,1.8000000636675395e-05,2.099999983329326e-05,1.700000029813964e-05,1.9999999494757503e-05,1.9999999494757503e-05,3937
Havy USD,HAVY-USD,2018-10-08,1.9999999494757503e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,1.9999999494757503e-05,5316
Havy USD,HAVY-USD,2018-10-09,1.9999999494757503e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8999999156221747e-05,1.8999999156221747e-05,3816
Havy USD,HAVY-USD,2018-10-10,1.8999999156221747e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.8000000636675395e-05,2118
Havy USD,HAVY-USD,2018-10-11,1.8000000636675395e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,4093
Havy USD,HAVY-USD,2018-10-12,1.5999999959603883e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,1.700000029813964e-05,4363
Havy USD,HAVY-USD,2018-10-13,1.700000029813964e-05,2.4000000848900527e-05,1.700000029813964e-05,2.200000017182901e-05,2.200000017182901e-05,18147
Havy USD,HAVY-USD,2018-10-14,2.099999983329326e-05,2.4000000848900527e-05,1.8000000636675395e-05,2.300000051036477e-05,2.300000051036477e-05,8701
Havy USD,HAVY-USD,2018-10-15,2.300000051036477e-05,2.499999936844688e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,8118
Havy USD,HAVY-USD,2018-10-16,1.8000000636675395e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,4146
Havy USD,HAVY-USD,2018-10-17,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,3871
Havy USD,HAVY-USD,2018-10-18,1.700000029813964e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.5999999959603883e-05,5275
Havy USD,HAVY-USD,2018-10-19,1.5999999959603883e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.5999999959603883e-05,8394
Havy USD,HAVY-USD,2018-10-20,1.5999999959603883e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,1.700000029813964e-05,2708
Havy USD,HAVY-USD,2018-10-21,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,1438
Havy USD,HAVY-USD,2018-10-22,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,1.700000029813964e-05,2987
Havy USD,HAVY-USD,2018-10-23,1.700000029813964e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,4827
Havy USD,HAVY-USD,2018-10-24,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.8000000636675395e-05,5144
Havy USD,HAVY-USD,2018-10-25,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,4847
Havy USD,HAVY-USD,2018-10-26,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,1.700000029813964e-05,2732
Havy USD,HAVY-USD,2018-10-27,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,2766
Havy USD,HAVY-USD,2018-10-28,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.8000000636675395e-05,6729
Havy USD,HAVY-USD,2018-10-29,1.8000000636675395e-05,2.499999936844688e-05,1.8000000636675395e-05,2.099999983329326e-05,2.099999983329326e-05,15806
Havy USD,HAVY-USD,2018-10-30,2.200000017182901e-05,2.200000017182901e-05,1.8999999156221747e-05,1.9999999494757503e-05,1.9999999494757503e-05,7369
Havy USD,HAVY-USD,2018-10-31,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,4205
Havy USD,HAVY-USD,2018-11-01,1.8000000636675395e-05,2.099999983329326e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,3244
Havy USD,HAVY-USD,2018-11-02,1.8000000636675395e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,3871
Havy USD,HAVY-USD,2018-11-03,1.5999999959603883e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4999999621068127e-05,1.4999999621068127e-05,6513
Havy USD,HAVY-USD,2018-11-04,1.4999999621068127e-05,1.700000029813964e-05,1.4000000192027072e-05,1.5999999959603883e-05,1.5999999959603883e-05,3244
Havy USD,HAVY-USD,2018-11-05,1.5999999959603883e-05,1.8000000636675395e-05,1.4000000192027072e-05,1.5999999959603883e-05,1.5999999959603883e-05,5375
Havy USD,HAVY-USD,2018-11-06,1.5999999959603883e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4999999621068127e-05,1.4999999621068127e-05,9555
Havy USD,HAVY-USD,2018-11-07,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,6352
Havy USD,HAVY-USD,2018-11-08,1.2999999853491316e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,5286
Havy USD,HAVY-USD,2018-11-09,1.2999999853491316e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.4000000192027072e-05,1.4000000192027072e-05,6619
