Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Proton Loan USD,LOAN-USD,2022-10-05,4.199999966658652e-05,4.70000013592653e-05,4.199999966658652e-05,4.600000102072954e-05,4.600000102072954e-05,23541
Proton Loan USD,LOAN-USD,2022-10-06,4.600000102072954e-05,4.8999998398358e-05,4.400000034365803e-05,4.70000013592653e-05,4.70000013592653e-05,40905
Proton Loan USD,LOAN-USD,2022-10-07,4.70000013592653e-05,4.999999873689376e-05,4.600000102072954e-05,4.8000001697801054e-05,4.8000001697801054e-05,23644
Proton Loan USD,LOAN-USD,2022-10-08,4.8000001697801054e-05,5.099999907542952e-05,4.8000001697801054e-05,4.999999873689376e-05,4.999999873689376e-05,10989
Proton Loan USD,LOAN-USD,2022-10-09,4.999999873689376e-05,6.800000119255856e-05,4.999999873689376e-05,5.8000001445179805e-05,5.8000001445179805e-05,53504
Proton Loan USD,LOAN-USD,2022-10-10,5.8000001445179805e-05,6.399999983841553e-05,5.600000076810829e-05,5.600000076810829e-05,5.600000076810829e-05,20793
Proton Loan USD,LOAN-USD,2022-10-11,5.600000076810829e-05,5.600000076810829e-05,4.8999998398358e-05,5.199999941396527e-05,5.199999941396527e-05,31085
Proton Loan USD,LOAN-USD,2022-10-12,5.199999941396527e-05,5.299999975250103e-05,4.999999873689376e-05,5.099999907542952e-05,5.099999907542952e-05,23280
Proton Loan USD,LOAN-USD,2022-10-13,5.099999907542952e-05,5.199999941396527e-05,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,32884
Proton Loan USD,LOAN-USD,2022-10-14,4.70000013592653e-05,4.8999998398358e-05,4.600000102072954e-05,4.70000013592653e-05,4.70000013592653e-05,17643
Proton Loan USD,LOAN-USD,2022-10-15,4.70000013592653e-05,4.8000001697801054e-05,4.600000102072954e-05,4.600000102072954e-05,4.600000102072954e-05,24453
Proton Loan USD,LOAN-USD,2022-10-16,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,4.600000102072954e-05,79120
Proton Loan USD,LOAN-USD,2022-10-17,4.600000102072954e-05,4.8999998398358e-05,4.5000000682193786e-05,4.600000102072954e-05,4.600000102072954e-05,17891
Proton Loan USD,LOAN-USD,2022-10-18,4.600000102072954e-05,4.70000013592653e-05,4.5000000682193786e-05,4.70000013592653e-05,4.70000013592653e-05,27458
Proton Loan USD,LOAN-USD,2022-10-19,4.70000013592653e-05,5.299999975250103e-05,4.5000000682193786e-05,5.299999975250103e-05,5.299999975250103e-05,40185
Proton Loan USD,LOAN-USD,2022-10-20,5.299999975250103e-05,5.500000042957254e-05,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,29720
Proton Loan USD,LOAN-USD,2022-10-21,4.8999998398358e-05,5.299999975250103e-05,4.8999998398358e-05,5.199999941396527e-05,5.199999941396527e-05,34867
Proton Loan USD,LOAN-USD,2022-10-22,5.199999941396527e-05,5.299999975250103e-05,4.999999873689376e-05,5.199999941396527e-05,5.199999941396527e-05,42649
Proton Loan USD,LOAN-USD,2022-10-23,5.199999941396527e-05,5.199999941396527e-05,4.8999998398358e-05,5.099999907542952e-05,5.099999907542952e-05,41657
Proton Loan USD,LOAN-USD,2022-10-24,5.099999907542952e-05,5.099999907542952e-05,4.70000013592653e-05,4.999999873689376e-05,4.999999873689376e-05,30961
Proton Loan USD,LOAN-USD,2022-10-25,4.999999873689376e-05,5.199999941396527e-05,4.8000001697801054e-05,4.8000001697801054e-05,4.8000001697801054e-05,45017
Proton Loan USD,LOAN-USD,2022-10-26,4.8000001697801054e-05,5.8000001445179805e-05,4.8000001697801054e-05,5.700000110664405e-05,5.700000110664405e-05,49289
Proton Loan USD,LOAN-USD,2022-10-27,5.700000110664405e-05,5.700000110664405e-05,5.299999975250103e-05,5.500000042957254e-05,5.500000042957254e-05,46791
Proton Loan USD,LOAN-USD,2022-10-28,5.500000042957254e-05,5.600000076810829e-05,5.400000009103678e-05,5.600000076810829e-05,5.600000076810829e-05,51013
Proton Loan USD,LOAN-USD,2022-10-29,5.600000076810829e-05,5.600000076810829e-05,4.8999998398358e-05,5.299999975250103e-05,5.299999975250103e-05,138429
Proton Loan USD,LOAN-USD,2022-10-30,5.299999975250103e-05,5.500000042957254e-05,5.199999941396527e-05,5.400000009103678e-05,5.400000009103678e-05,125068
Proton Loan USD,LOAN-USD,2022-10-31,5.400000009103678e-05,5.400000009103678e-05,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,52090
Proton Loan USD,LOAN-USD,2022-11-01,5.199999941396527e-05,5.199999941396527e-05,5.099999907542952e-05,5.199999941396527e-05,5.199999941396527e-05,89850
Proton Loan USD,LOAN-USD,2022-11-02,5.199999941396527e-05,5.199999941396527e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,89418
Proton Loan USD,LOAN-USD,2022-11-03,4.8999998398358e-05,4.999999873689376e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,43771
Proton Loan USD,LOAN-USD,2022-11-04,4.8999998398358e-05,5.199999941396527e-05,4.8999998398358e-05,5.199999941396527e-05,5.199999941396527e-05,70189
Proton Loan USD,LOAN-USD,2022-11-05,5.199999941396527e-05,5.199999941396527e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,72525
Proton Loan USD,LOAN-USD,2022-11-06,4.8999998398358e-05,4.999999873689376e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,103161
Proton Loan USD,LOAN-USD,2022-11-07,4.8999998398358e-05,4.999999873689376e-05,4.8000001697801054e-05,4.8999998398358e-05,4.8999998398358e-05,41836
Proton Loan USD,LOAN-USD,2022-11-08,4.8999998398358e-05,4.8999998398358e-05,4.199999966658652e-05,4.199999966658652e-05,4.199999966658652e-05,173037
Proton Loan USD,LOAN-USD,2022-11-09,4.199999966658652e-05,4.3000000005122274e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,74873
Proton Loan USD,LOAN-USD,2022-11-10,3.5000000934815034e-05,3.9999998989515007e-05,3.099999958067201e-05,3.9999998989515007e-05,3.9999998989515007e-05,100948
Proton Loan USD,LOAN-USD,2022-11-11,3.9999998989515007e-05,3.9999998989515007e-05,3.300000025774352e-05,3.5000000934815034e-05,3.5000000934815034e-05,31921
Proton Loan USD,LOAN-USD,2022-11-12,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.600000127335079e-05,3.600000127335079e-05,37453
Proton Loan USD,LOAN-USD,2022-11-13,3.600000127335079e-05,3.600000127335079e-05,3.400000059627928e-05,3.5000000934815034e-05,3.5000000934815034e-05,64084
Proton Loan USD,LOAN-USD,2022-11-14,3.5000000934815034e-05,3.5000000934815034e-05,3.199999991920777e-05,3.400000059627928e-05,3.400000059627928e-05,72410
Proton Loan USD,LOAN-USD,2022-11-15,3.400000059627928e-05,3.700000161188655e-05,2.999999924213625e-05,3.5000000934815034e-05,3.5000000934815034e-05,89138
Proton Loan USD,LOAN-USD,2022-11-16,3.5000000934815034e-05,3.5000000934815034e-05,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,55027
Proton Loan USD,LOAN-USD,2022-11-17,3.400000059627928e-05,3.600000127335079e-05,3.400000059627928e-05,3.5000000934815034e-05,3.5000000934815034e-05,34882
Proton Loan USD,LOAN-USD,2022-11-18,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,14058
Proton Loan USD,LOAN-USD,2022-11-19,3.5000000934815034e-05,3.700000161188655e-05,3.099999958067201e-05,3.199999991920777e-05,3.199999991920777e-05,22279
Proton Loan USD,LOAN-USD,2022-11-20,3.199999991920777e-05,3.5000000934815034e-05,2.9000000722589903e-05,3.400000059627928e-05,3.400000059627928e-05,37895
