Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Loop Network USD,LOOP18761-USD,2022-03-15,0.0049089998938143,0.004923999775201,0.0031540000345557,0.0035439999774098,0.0035439999774098,288674
Loop Network USD,LOOP18761-USD,2022-03-16,0.0035439999774098,0.0047100000083446,0.0027340000960975,0.0044309999793767,0.0044309999793767,115761
Loop Network USD,LOOP18761-USD,2022-03-17,0.0044309999793767,0.0063729998655617,0.004224999807775,0.0053179999813437,0.0053179999813437,145105
Loop Network USD,LOOP18761-USD,2022-03-18,0.0053179999813437,0.0053679998964071,0.0041439998894929,0.0047269999049603,0.0047269999049603,115095
Loop Network USD,LOOP18761-USD,2022-03-19,0.0047269999049603,0.0065939999185502,0.0047269999049603,0.0057789999991655,0.0057789999991655,72833
Loop Network USD,LOOP18761-USD,2022-03-20,0.0057789999991655,0.0069960001856088,0.0051859999075531,0.0067770001478493,0.0067770001478493,79214
Loop Network USD,LOOP18761-USD,2022-03-21,0.0067770001478493,0.0092139998450875,0.0067710001021623,0.0079589998349547,0.0079589998349547,143532
Loop Network USD,LOOP18761-USD,2022-03-22,0.0079589998349547,0.0216269996017217,0.0079589998349547,0.0210599992424249,0.0210599992424249,442926
Loop Network USD,LOOP18761-USD,2022-03-23,0.0210599992424249,0.022962000221014,0.0133840003982186,0.0167900007218122,0.0167900007218122,662179
Loop Network USD,LOOP18761-USD,2022-03-24,0.0167900007218122,0.0169430002570152,0.0106239998713135,0.0122619997709989,0.0122619997709989,492074
Loop Network USD,LOOP18761-USD,2022-03-25,0.0122619997709989,0.0126120001077651,0.0107549997046589,0.0115529997274279,0.0115529997274279,217029
Loop Network USD,LOOP18761-USD,2022-03-26,0.0115529997274279,0.0117049999535083,0.0081540001556277,0.0081540001556277,0.0081540001556277,129967
Loop Network USD,LOOP18761-USD,2022-03-27,0.0081540001556277,0.0121759995818138,0.00793999992311,0.0121539998799562,0.0121539998799562,130686
Loop Network USD,LOOP18761-USD,2022-03-28,0.0121539998799562,0.0128619996830821,0.0102420002222061,0.0103259999305009,0.0103259999305009,100171
Loop Network USD,LOOP18761-USD,2022-03-29,0.0103259999305009,0.0108789997175335,0.0087750004604458,0.0091059999540448,0.0091059999540448,82396
Loop Network USD,LOOP18761-USD,2022-03-30,0.0091059999540448,0.010161000303924,0.0076890001073479,0.0077320002019405,0.0077320002019405,95337
Loop Network USD,LOOP18761-USD,2022-03-31,0.0077320002019405,0.0085829999297857,0.0074510001577436,0.0076910001225769,0.0076910001225769,95182
Loop Network USD,LOOP18761-USD,2022-04-01,0.0076910001225769,0.0080279996618628,0.0060450001619756,0.0077630002051591,0.0077630002051591,89423
Loop Network USD,LOOP18761-USD,2022-04-02,0.0077630002051591,0.0080359997227787,0.0062850001268088,0.006521999835968,0.006521999835968,73521
Loop Network USD,LOOP18761-USD,2022-04-03,0.006521999835968,0.0085129998624324,0.0065210000611841,0.0084870001301169,0.0084870001301169,58157
Loop Network USD,LOOP18761-USD,2022-04-04,0.0084870001301169,0.0088290004059672,0.0078379996120929,0.0079129999503493,0.0079129999503493,47536
Loop Network USD,LOOP18761-USD,2022-04-05,0.0079129999503493,0.0079800002276897,0.0069599999114871,0.0072130002081394,0.0072130002081394,52315
Loop Network USD,LOOP18761-USD,2022-04-06,0.0072130002081394,0.0075309998355805,0.0062029999680817,0.0062759998254477,0.0062759998254477,54624
