Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
P2P Taxi Token USD,P2PTXT-USD,2022-03-28,4.199999966658652e-05,4.199999966658652e-05,2.099999983329326e-05,2.300000051036477e-05,2.300000051036477e-05,25044
P2P Taxi Token USD,P2PTXT-USD,2022-03-29,2.300000051036477e-05,2.499999936844688e-05,2.200000017182901e-05,2.300000051036477e-05,2.300000051036477e-05,26102
P2P Taxi Token USD,P2PTXT-USD,2022-03-30,2.300000051036477e-05,2.300000051036477e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,5481
P2P Taxi Token USD,P2PTXT-USD,2022-03-31,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,4711
P2P Taxi Token USD,P2PTXT-USD,2022-04-01,1.4999999621068127e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8999999156221747e-05,1.8999999156221747e-05,3737
P2P Taxi Token USD,P2PTXT-USD,2022-04-02,1.8999999156221747e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,6089
P2P Taxi Token USD,P2PTXT-USD,2022-04-03,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,1.700000029813964e-05,4790
P2P Taxi Token USD,P2PTXT-USD,2022-04-04,1.700000029813964e-05,2.4000000848900527e-05,1.700000029813964e-05,2.300000051036477e-05,2.300000051036477e-05,6567
P2P Taxi Token USD,P2PTXT-USD,2022-04-05,2.300000051036477e-05,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,2.499999936844688e-05,7496
P2P Taxi Token USD,P2PTXT-USD,2022-04-06,2.499999936844688e-05,2.499999936844688e-05,2.200000017182901e-05,2.300000051036477e-05,2.300000051036477e-05,3539
P2P Taxi Token USD,P2PTXT-USD,2022-04-07,2.300000051036477e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,6027
P2P Taxi Token USD,P2PTXT-USD,2022-04-08,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,5254
P2P Taxi Token USD,P2PTXT-USD,2022-04-09,1.8000000636675395e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.5999999959603883e-05,3461
P2P Taxi Token USD,P2PTXT-USD,2022-04-10,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,2264
P2P Taxi Token USD,P2PTXT-USD,2022-04-11,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,606
P2P Taxi Token USD,P2PTXT-USD,2022-04-12,1.4999999621068127e-05,1.5999999959603883e-05,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,1855
P2P Taxi Token USD,P2PTXT-USD,2022-04-13,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,1680
P2P Taxi Token USD,P2PTXT-USD,2022-04-14,1.4000000192027072e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,369
P2P Taxi Token USD,P2PTXT-USD,2022-04-15,1.2999999853491316e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,272
P2P Taxi Token USD,P2PTXT-USD,2022-04-16,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,127
P2P Taxi Token USD,P2PTXT-USD,2022-04-17,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,192
P2P Taxi Token USD,P2PTXT-USD,2022-04-18,1.2999999853491316e-05,1.2999999853491316e-05,1.2000000424450263e-05,1.2999999853491316e-05,1.2999999853491316e-05,103
P2P Taxi Token USD,P2PTXT-USD,2022-04-19,1.2999999853491316e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.4000000192027072e-05,1.4000000192027072e-05,318
P2P Taxi Token USD,P2PTXT-USD,2022-04-20,1.4000000192027072e-05,1.4000000192027072e-05,1.2999999853491316e-05,1.2999999853491316e-05,1.2999999853491316e-05,399
P2P Taxi Token USD,P2PTXT-USD,2022-04-21,1.2999999853491316e-05,1.8000000636675395e-05,1.2999999853491316e-05,1.5999999959603883e-05,1.5999999959603883e-05,4251
P2P Taxi Token USD,P2PTXT-USD,2022-04-22,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,4525
P2P Taxi Token USD,P2PTXT-USD,2022-04-23,1.4999999621068127e-05,8.600000001024455e-05,1.4999999621068127e-05,5.8000001445179805e-05,5.8000001445179805e-05,102197
P2P Taxi Token USD,P2PTXT-USD,2022-04-24,5.8000001445179805e-05,0.0001489999995101,4.999999873689376e-05,7.999999797903001e-05,7.999999797903001e-05,344338
P2P Taxi Token USD,P2PTXT-USD,2022-04-25,7.999999797903001e-05,0.0001199999969685,6.0999998822808266e-05,8.70000003487803e-05,8.70000003487803e-05,320318
P2P Taxi Token USD,P2PTXT-USD,2022-04-26,8.70000003487803e-05,8.900000102585182e-05,4.999999873689376e-06,7.000000186963007e-05,7.000000186963007e-05,106735
P2P Taxi Token USD,P2PTXT-USD,2022-04-27,7.000000186963007e-05,9.100000170292331e-05,4.8999998398358e-05,6.0999998822808266e-05,6.0999998822808266e-05,56881
P2P Taxi Token USD,P2PTXT-USD,2022-04-28,6.0999998822808266e-05,7.100000220816582e-05,6.0999998822808266e-05,6.0999998822808266e-05,6.0999998822808266e-05,32110
P2P Taxi Token USD,P2PTXT-USD,2022-04-29,6.0999998822808266e-05,6.600000051548705e-05,5.199999941396527e-05,6.500000017695129e-05,6.500000017695129e-05,17837
P2P Taxi Token USD,P2PTXT-USD,2022-04-30,6.500000017695129e-05,6.70000008540228e-05,5.099999907542952e-05,5.099999907542952e-05,5.099999907542952e-05,15795
P2P Taxi Token USD,P2PTXT-USD,2022-05-01,5.099999907542952e-05,6.600000051548705e-05,4.8999998398358e-05,5.700000110664405e-05,5.700000110664405e-05,19918
P2P Taxi Token USD,P2PTXT-USD,2022-05-02,5.700000110664405e-05,5.900000178371556e-05,5.299999975250103e-05,5.299999975250103e-05,5.299999975250103e-05,17378
P2P Taxi Token USD,P2PTXT-USD,2022-05-03,5.299999975250103e-05,5.299999975250103e-05,4.8999998398358e-05,4.999999873689376e-05,4.999999873689376e-05,6070
P2P Taxi Token USD,P2PTXT-USD,2022-05-04,4.999999873689376e-05,5.500000042957254e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,7020
P2P Taxi Token USD,P2PTXT-USD,2022-05-05,4.999999873689376e-05,5.199999941396527e-05,4.3000000005122274e-05,4.3000000005122274e-05,4.3000000005122274e-05,8083
P2P Taxi Token USD,P2PTXT-USD,2022-05-06,4.3000000005122274e-05,5.400000009103678e-05,4.199999966658652e-05,5.400000009103678e-05,5.400000009103678e-05,7456
P2P Taxi Token USD,P2PTXT-USD,2022-05-07,5.400000009103678e-05,5.700000110664405e-05,4.8999998398358e-05,5.299999975250103e-05,5.299999975250103e-05,7318
P2P Taxi Token USD,P2PTXT-USD,2022-05-08,5.299999975250103e-05,5.400000009103678e-05,4.099999932805076e-05,4.3000000005122274e-05,4.3000000005122274e-05,7513
P2P Taxi Token USD,P2PTXT-USD,2022-05-09,4.3000000005122274e-05,4.3000000005122274e-05,3.300000025774352e-05,3.300000025774352e-05,3.300000025774352e-05,4406
P2P Taxi Token USD,P2PTXT-USD,2022-05-10,3.300000025774352e-05,3.700000161188655e-05,3.199999991920777e-05,3.600000127335079e-05,3.600000127335079e-05,1837
P2P Taxi Token USD,P2PTXT-USD,2022-05-11,3.600000127335079e-05,3.600000127335079e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,4456
P2P Taxi Token USD,P2PTXT-USD,2022-05-12,1.8000000636675395e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,7497
P2P Taxi Token USD,P2PTXT-USD,2022-05-13,1.2000000424450263e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.8000000636675395e-05,1.8000000636675395e-05,5883
P2P Taxi Token USD,P2PTXT-USD,2022-05-14,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,3359
P2P Taxi Token USD,P2PTXT-USD,2022-05-15,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,1.8999999156221747e-05,1769
P2P Taxi Token USD,P2PTXT-USD,2022-05-16,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1449
P2P Taxi Token USD,P2PTXT-USD,2022-05-17,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,1.700000029813964e-05,1436
P2P Taxi Token USD,P2PTXT-USD,2022-05-18,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,744
P2P Taxi Token USD,P2PTXT-USD,2022-05-19,1.5999999959603883e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.8000000636675395e-05,1210
P2P Taxi Token USD,P2PTXT-USD,2022-05-20,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1328
P2P Taxi Token USD,P2PTXT-USD,2022-05-21,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,1.8999999156221747e-05,749
P2P Taxi Token USD,P2PTXT-USD,2022-05-22,1.8999999156221747e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,551
