Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Super Bitcoin USD,SBTC-USD,2017-12-15,226.64700317382807,436.1260070800781,203.44200134277344,343.18798828125,343.18798828125,11329400
Super Bitcoin USD,SBTC-USD,2017-12-16,325.25,337.7470092773437,237.4600067138672,250.2120056152344,250.2120056152344,3419680
Super Bitcoin USD,SBTC-USD,2017-12-17,248.12600708007807,273.0169982910156,230.79299926757807,249.2760009765625,249.2760009765625,1969230
Super Bitcoin USD,SBTC-USD,2017-12-18,247.6600036621093,289.6000061035156,247.447006225586,276.47198486328125,276.47198486328125,2179250
Super Bitcoin USD,SBTC-USD,2017-12-19,275.87799072265625,307.2070007324219,241.6199951171875,271.7659912109375,271.7659912109375,3110840
Super Bitcoin USD,SBTC-USD,2017-12-20,270.96099853515625,332.3720092773437,228.5269927978516,288.83599853515625,288.83599853515625,3008290
Super Bitcoin USD,SBTC-USD,2017-12-21,289.8739929199219,296.2959899902344,246.5240020751953,254.9340057373047,254.9340057373047,1408600
Super Bitcoin USD,SBTC-USD,2017-12-22,258.4649963378906,260.62701416015625,168.03799438476562,193.33599853515625,193.33599853515625,1120560
Super Bitcoin USD,SBTC-USD,2017-12-23,193.302001953125,242.0970001220703,193.302001953125,211.9010009765625,211.9010009765625,611490
Super Bitcoin USD,SBTC-USD,2017-12-24,211.95399475097656,216.1210021972656,185.5110015869141,204.1280059814453,204.1280059814453,419379
Super Bitcoin USD,SBTC-USD,2017-12-25,205.9080047607422,298.05499267578125,200.2989959716797,257.4259948730469,257.4259948730469,1907350
Super Bitcoin USD,SBTC-USD,2017-12-26,257.3450012207031,362.2839965820313,257.3450012207031,323.72900390625,323.72900390625,2957980
Super Bitcoin USD,SBTC-USD,2017-12-27,322.98199462890625,345.9020080566406,282.114013671875,298.364013671875,298.364013671875,1537400
Super Bitcoin USD,SBTC-USD,2017-12-28,297.3169860839844,298.7080078125,244.1569976806641,254.9960021972656,254.9960021972656,972685
Super Bitcoin USD,SBTC-USD,2017-12-29,260.8680114746094,269.99200439453125,234.68600463867188,237.8990020751953,237.8990020751953,904262
Super Bitcoin USD,SBTC-USD,2017-12-30,235.322006225586,243.1000061035156,180.30099487304688,189.5260009765625,189.5260009765625,689228
Super Bitcoin USD,SBTC-USD,2017-12-31,187.8990020751953,219.73399353027344,183.61700439453125,209.1009979248047,209.1009979248047,587936
Super Bitcoin USD,SBTC-USD,2018-01-01,209.85899353027344,209.85899353027344,164.67599487304688,164.67599487304688,164.67599487304688,1013170
Super Bitcoin USD,SBTC-USD,2018-01-02,162.69000244140625,217.73199462890625,162.69000244140625,201.9830017089844,201.9830017089844,1702030
Super Bitcoin USD,SBTC-USD,2018-01-03,199.3209991455078,202.625,173.93600463867188,175.5919952392578,175.5919952392578,1278600
Super Bitcoin USD,SBTC-USD,2018-01-04,178.125,189.8000030517578,163.86199951171875,171.3560028076172,171.3560028076172,1950580
Super Bitcoin USD,SBTC-USD,2018-01-05,170.63299560546875,171.0780029296875,120.41500091552734,127.27799987792967,127.27799987792967,3275290
Super Bitcoin USD,SBTC-USD,2018-01-06,126.75900268554688,164.75399780273438,120.79900360107422,148.03500366210938,148.03500366210938,1942900
Super Bitcoin USD,SBTC-USD,2018-01-07,143.22799682617188,200.0679931640625,140.7050018310547,148.45700073242188,148.45700073242188,1924250
Super Bitcoin USD,SBTC-USD,2018-01-08,150.86000061035156,153.2239990234375,111.83999633789062,125.87999725341795,125.87999725341795,2155880
Super Bitcoin USD,SBTC-USD,2018-01-09,128.7449951171875,138.56399536132812,117.61399841308594,125.02899932861328,125.02899932861328,3318580
Super Bitcoin USD,SBTC-USD,2018-01-10,122.91699981689452,130.12899780273438,103.56800079345705,118.7979965209961,118.7979965209961,4327020
Super Bitcoin USD,SBTC-USD,2018-01-11,115.77899932861328,120.83000183105467,84.08619689941406,96.7844009399414,96.7844009399414,4660680
Super Bitcoin USD,SBTC-USD,2018-01-12,98.47660064697266,126.77999877929688,95.29450225830078,96.46920013427734,96.46920013427734,4975680
Super Bitcoin USD,SBTC-USD,2018-01-13,95.67489624023438,147.60299682617188,86.93229675292969,123.10900115966795,123.10900115966795,13229600
Super Bitcoin USD,SBTC-USD,2018-01-14,122.9020004272461,125.10900115966795,94.14340209960938,100.0189971923828,100.0189971923828,5335080
