Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
ShibaFameV2 USD,SFV2-USD,2022-03-10,7.999999979801942e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,7.999999979801942e-06,289714
ShibaFameV2 USD,SFV2-USD,2022-03-11,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,22764
ShibaFameV2 USD,SFV2-USD,2022-03-12,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,3556
ShibaFameV2 USD,SFV2-USD,2022-03-13,4.999999873689376e-06,9.000000318337698e-06,4.999999873689376e-06,9.000000318337698e-06,9.000000318337698e-06,7569
ShibaFameV2 USD,SFV2-USD,2022-03-14,9.000000318337698e-06,9.000000318337698e-06,4.999999873689376e-06,6.000000212225132e-06,6.000000212225132e-06,8784
ShibaFameV2 USD,SFV2-USD,2022-03-15,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,6.000000212225132e-06,3604
ShibaFameV2 USD,SFV2-USD,2022-03-16,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,3177
ShibaFameV2 USD,SFV2-USD,2022-03-17,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,6.000000212225132e-06,3268
ShibaFameV2 USD,SFV2-USD,2022-03-18,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,2048
ShibaFameV2 USD,SFV2-USD,2022-03-19,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,1131
ShibaFameV2 USD,SFV2-USD,2022-03-20,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,645
ShibaFameV2 USD,SFV2-USD,2022-03-21,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,339
