Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Shido USD,SHIDO-USD,2022-04-14,1.1000000085914508e-05,1.8999999156221747e-05,9.999999747378752e-06,1.8999999156221747e-05,1.8999999156221747e-05,76097
Shido USD,SHIDO-USD,2022-04-15,1.8999999156221747e-05,2.300000051036477e-05,7.999999979801942e-06,1.8000000636675395e-05,1.8000000636675395e-05,173609
Shido USD,SHIDO-USD,2022-04-16,1.8000000636675395e-05,3.199999991920777e-05,1.5999999959603883e-05,1.8999999156221747e-05,1.8999999156221747e-05,172269
Shido USD,SHIDO-USD,2022-04-17,1.8999999156221747e-05,3.400000059627928e-05,1.8000000636675395e-05,2.9000000722589903e-05,2.9000000722589903e-05,143854
Shido USD,SHIDO-USD,2022-04-18,2.9000000722589903e-05,3.400000059627928e-05,2.300000051036477e-05,2.999999924213625e-05,2.999999924213625e-05,132041
Shido USD,SHIDO-USD,2022-04-19,2.999999924213625e-05,2.999999924213625e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,107362
Shido USD,SHIDO-USD,2022-04-20,2.099999983329326e-05,2.4000000848900527e-05,1.8999999156221747e-05,1.9999999494757503e-05,1.9999999494757503e-05,74661
Shido USD,SHIDO-USD,2022-04-21,1.9999999494757503e-05,2.099999983329326e-05,1.700000029813964e-05,1.8000000636675395e-05,1.8000000636675395e-05,41071
Shido USD,SHIDO-USD,2022-04-22,1.8000000636675395e-05,2.099999983329326e-05,7.999999979801942e-06,9.000000318337698e-06,9.000000318337698e-06,75025
Shido USD,SHIDO-USD,2022-04-23,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,9.999999747378752e-06,74664
Shido USD,SHIDO-USD,2022-04-24,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,20318
Shido USD,SHIDO-USD,2022-04-25,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,15298
Shido USD,SHIDO-USD,2022-04-26,7.999999979801942e-06,9.000000318337698e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,23413
Shido USD,SHIDO-USD,2022-04-27,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,23514
Shido USD,SHIDO-USD,2022-04-28,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,6.000000212225132e-06,13619
Shido USD,SHIDO-USD,2022-04-29,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,8015
Shido USD,SHIDO-USD,2022-04-30,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,9134
Shido USD,SHIDO-USD,2022-05-01,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,7497
Shido USD,SHIDO-USD,2022-05-02,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,6784
Shido USD,SHIDO-USD,2022-05-03,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,17726
