Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
WASSIE USD,WASSIE-USD,2023-05-05,1.2000000424450263e-05,2.099999983329326e-05,9.000000318337698e-06,1.4000000192027072e-05,1.4000000192027072e-05,13194114
WASSIE USD,WASSIE-USD,2023-05-06,1.4000000192027072e-05,3.7999998312443495e-05,1.1000000085914508e-05,2.200000017182901e-05,2.200000017182901e-05,23600727
WASSIE USD,WASSIE-USD,2023-05-07,2.200000017182901e-05,2.8000000384054147e-05,1.1000000085914508e-05,1.700000029813964e-05,1.700000029813964e-05,11407467
WASSIE USD,WASSIE-USD,2023-05-08,1.700000029813964e-05,2.200000017182901e-05,3.999999989900971e-06,7.999999979801942e-06,7.999999979801942e-06,7651998
WASSIE USD,WASSIE-USD,2023-05-09,7.999999979801942e-06,9.999999747378752e-06,1.999999994950485e-06,3.000000106112566e-06,3.000000106112566e-06,3364586
WASSIE USD,WASSIE-USD,2023-05-10,3.000000106112566e-06,6.000000212225132e-06,1.999999994950485e-06,3.999999989900971e-06,3.999999989900971e-06,2067272
WASSIE USD,WASSIE-USD,2023-05-11,3.999999989900971e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1008693
WASSIE USD,WASSIE-USD,2023-05-12,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.999999994950485e-06,1.999999994950485e-06,403723
WASSIE USD,WASSIE-USD,2023-05-13,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,1.999999994950485e-06,335705
WASSIE USD,WASSIE-USD,2023-05-14,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,256354
WASSIE USD,WASSIE-USD,2023-05-15,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,149078
WASSIE USD,WASSIE-USD,2023-05-16,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,113734
WASSIE USD,WASSIE-USD,2023-05-17,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,116154
WASSIE USD,WASSIE-USD,2023-05-18,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,117707
WASSIE USD,WASSIE-USD,2023-05-19,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,45416
WASSIE USD,WASSIE-USD,2023-05-20,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,45503
WASSIE USD,WASSIE-USD,2023-05-21,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,21890
WASSIE USD,WASSIE-USD,2023-05-22,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,18429
WASSIE USD,WASSIE-USD,2023-05-23,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,66245
WASSIE USD,WASSIE-USD,2023-05-24,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17284
WASSIE USD,WASSIE-USD,2023-05-25,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,34846
WASSIE USD,WASSIE-USD,2023-05-26,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17466
WASSIE USD,WASSIE-USD,2023-05-27,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,13254
WASSIE USD,WASSIE-USD,2023-05-28,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,31444
WASSIE USD,WASSIE-USD,2023-05-29,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,36078
WASSIE USD,WASSIE-USD,2023-05-30,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8275
WASSIE USD,WASSIE-USD,2023-05-31,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,23763
WASSIE USD,WASSIE-USD,2023-06-01,0.0,0.0,0.0,0.0,0.0,1824
WASSIE USD,WASSIE-USD,2023-06-02,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,9.999999974752427e-07,7612
WASSIE USD,WASSIE-USD,2023-06-03,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,6914
WASSIE USD,WASSIE-USD,2023-06-04,0.0,9.999999974752427e-07,0.0,0.0,0.0,15253
WASSIE USD,WASSIE-USD,2023-06-05,0.0,0.0,0.0,0.0,0.0,7827
WASSIE USD,WASSIE-USD,2023-06-06,0.0,1.999999994950485e-06,0.0,9.999999974752427e-07,9.999999974752427e-07,1413764
WASSIE USD,WASSIE-USD,2023-06-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,160803
WASSIE USD,WASSIE-USD,2023-06-08,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1261290
WASSIE USD,WASSIE-USD,2023-06-09,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.999999994950485e-06,1.999999994950485e-06,1569659
WASSIE USD,WASSIE-USD,2023-06-10,1.999999994950485e-06,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,377011
WASSIE USD,WASSIE-USD,2023-06-11,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,379410
